Rank,Player,Team,Bye,POS,Yahoo,CBS,FFC,NFL,Fantrax,DW,AVG
1,David Johnson,ARI,8,RB1,,1,1,1,1,1,1.0
2,Le'Veon Bell,PIT,9,RB2,,2,2,2,2,2,2.0
3,Antonio Brown,PIT,9,WR1,,3,3,3,3,3,3.0
4,Julio Jones,ATL,5,WR2,,4,6,4,5,4,4.6
5,Odell Beckham Jr.,NYG,8,WR3,,7,5,5,4,6,5.4
6,LeSean McCoy,BUF,6,RB3,,5,4,7,7,5,5.6
7,Mike Evans,TB,11,WR4,,9,8,8,8,7,8.0
8,Devonta Freeman,ATL,5,RB4,,6,7,11,9,9,8.4
9,Melvin Gordon,LAC,9,RB5,,11,9,9,10,8,9.4
10,Ezekiel Elliott,DAL,6,RB6,,10,14,6,6,15,10.2
11,A.J. Green,CIN,6,WR5,,12,10,12,11,10,11.0
12,DeMarco Murray,TEN,8,RB7,,14,12,10,12,12,12.0
13,Jordy Nelson,GB,8,WR6,,13,11,14,14,11,12.6
14,Jordan Howard,CHI,9,RB8,,15,13,15,13,14,14.0
15,Jay Ajayi,MIA,11,RB9,,17,15,13,17,13,15.0
16,Michael Thomas,NO,5,WR7,,18,16,17,15,16,16.4
17,Aaron Rodgers,GB,8,QB1,,8,23,19,16,17,16.6
18,Dez Bryant,DAL,6,WR8,,23,19,16,18,19,19.0
19,Leonard Fournette,JAC,8,RB10,,19,17,23,22,20,20.2
20,Todd Gurley,LAR,8,RB11,,21,18,22,21,21,20.6
21,Rob Gronkowski,NE,9,TE1,,22,20,21,19,22,20.8
22,T.Y. Hilton,IND,11,WR9,,29,24,20,20,18,22.2
23,Tom Brady,NE,9,QB2,,16,29,24,23,24,23.2
24,Amari Cooper,OAK,10,WR10,,26,21,26,24,23,24.0
25,Marshawn Lynch,OAK,10,RB12,,27,22,18,29,25,24.2
26,Lamar Miller,HOU,7,RB13,,24,25,27,26,27,25.8
27,Doug Baldwin,SEA,6,WR11,,28,28,28,28,26,27.6
28,Brandin Cooks,NE,9,WR12,,36,26,25,27,28,28.4
29,DeAndre Hopkins,HOU,7,WR13,,32,32,29,25,29,29.4
30,Isaiah Crowell,CLE,9,RB14,,31,27,31,32,30,30.2
31,Christian McCaffrey,CAR,11,RB15,,30,31,30,31,32,30.8
32,Drew Brees,NO,5,QB3,,25,43,38,30,39,35.0
33,Demaryius Thomas,DEN,5,WR14,,45,35,32,36,31,35.8
34,Terrelle Pryor,WAS,5,WR15,,41,30,36,44,34,37.0
35,Travis Kelce,KC,10,TE2,,35,40,35,40,38,37.6
36,Joe Mixon,CIN,6,RB16,,42,38,33,42,36,38.2
37,Carlos Hyde,SF,11,RB17,,48,36,34,39,37,38.8
38,Alshon Jeffery,PHI,10,WR16,,51,41,37,34,33,39.2
39,Matt Ryan,ATL,5,QB4,,20,59,40,41,47,41.4
40,Allen Robinson,JAC,8,WR17,,55,45,42,37,35,42.8
41,Spencer Ware,KC,10,RB18,,34,42,50,45,45,43.2
42,Keenan Allen,LAC,9,WR18,,40,37,68,33,40,43.6
43,Dalvin Cook,MIN,9,RB19,,46,33,51,51,44,45.0
44,Ty Montgomery,GB,8,RB20,,39,34,64,50,43,46.0
45,Sammy Watkins,LAR,8,WR19,,61,50,46,35,42,46.8
46,Davante Adams,GB,8,WR20,,49,44,62,38,41,46.8
47,Greg Olsen,CAR,11,TE3,,38,54,44,49,49,46.8
48,Jarvis Landry,MIA,11,WR21,,43,62,43,43,51,48.4
49,Tyreek Hill,KC,10,WR22,,58,39,45,48,54,48.8
50,C.J. Anderson,DEN,5,RB21,,56,51,39,46,53,49.0
51,Michael Crabtree,OAK,10,WR23,,50,49,47,47,52,49.0
52,Jordan Reed,WAS,5,TE4,,54,57,41,56,46,50.8
53,Mark Ingram,NO,5,RB22,,33,60,60,53,50,51.2
54,Julian Edelman,NE,9,WR24,,37,64,61,57,48,53.4
55,Jimmy Graham,SEA,6,TE5,,59,61,49,62,57,57.6
56,Kelvin Benjamin,CAR,11,WR25,,47,52,93,60,60,62.4
57,Martavis Bryant,PIT,9,WR26,,69,46,88,55,56,62.8
58,Russell Wilson,SEA,6,QB5,,60,76,52,72,55,63.0
59,Golden Tate,DET,7,WR27,,66,63,69,59,61,63.6
60,Tevin Coleman,ATL,5,RB23,,44,74,86,52,65,64.2
61,Mike Gillislee,NE,9,RB24,,64,47,83,71,59,64.8
62,Emmanuel Sanders,DEN,5,WR28,,63,78,58,64,63,65.2
63,Andrew Luck,IND,11,QB6,,65,86,48,76,58,66.6
64,LeGarrette Blount,PHI,10,RB25,,73,53,74,65,76,68.2
65,Tyler Eifert,CIN,6,TE6,,83,70,56,69,64,68.4
66,Brandon Marshall,NYG,8,WR29,,53,58,96,68,69,68.8
67,Adrian Peterson,NO,5,RB26,,72,48,79,73,75,69.4
68,Bilal Powell,NYJ,11,RB27,,76,67,59,85,62,69.8
69,Larry Fitzgerald,ARI,8,WR30,,78,65,71,70,67,70.2
70,Delanie Walker,TEN,8,TE7,,62,84,54,88,68,71.2
71,Stefon Diggs,MIN,9,WR31,,71,75,85,54,72,71.4
72,Ameer Abdullah,DET,7,RB28,,84,56,92,58,71,72.2
73,Cam Newton,CAR,11,QB7,,57,92,57,95,82,76.6
74,Jameis Winston,TB,11,QB8,,52,83,106,63,81,77.0
75,Frank Gore,IND,11,RB29,,92,77,65,81,70,77.0
76,Derek Carr,OAK,10,QB9,,70,72,87,93,66,77.6
77,Eddie Lacy,SEA,6,RB30,,87,68,75,78,80,77.6
78,Paul Perkins,NYG,8,RB31,,75,66,94,74,85,78.8
79,Doug Martin,TB,11,RB32,,85,55,97,75,87,79.8
80,Kyle Rudolph,MIN,9,TE8,,77,100,67,87,74,81.0
81,Kirk Cousins,WAS,5,QB10,,68,93,81,92,73,81.4
82,Marcus Mariota,TEN,8,QB11,,81,96,55,99,77,81.6
83,Martellus Bennett,GB,8,TE9,,88,79,91,80,78,83.2
84,Willie Snead,NO,5,WR32,,90,69,109,67,83,83.6
85,Danny Woodhead,BAL,10,RB33,,67,80,102,94,79,84.4
86,Jamison Crowder,WAS,5,WR33,,93,73,95,77,84,84.4
87,Derrick Henry,TEN,8,RB34,,101,71,117,61,89,87.8
88,Donte Moncrief,IND,11,WR34,,107,89,101,66,88,90.2
89,DeSean Jackson,TB,11,WR35,,94,85,84,108,86,91.4
90,Dak Prescott,DAL,6,QB12,,74,120,53,109,106,92.4
91,Robert Kelley,WAS,5,RB35,,99,82,108,91,94,94.8
92,Eric Decker,TEN,8,WR36,,89,88,111,86,101,95.0
93,Randall Cobb,GB,8,WR37,,80,99,123,84,98,96.8
94,Ben Roethlisberger,PIT,9,QB13,,79,106,104,100,103,98.4
95,Pierre Garcon,SF,11,WR38,,118,91,105,103,92,101.8
96,Kareem Hunt,KC,10,RB36,,102,87,122,96,104,102.2
97,Zach Ertz,PHI,10,TE10,,86,116,116,90,107,103.0
98,Theo Riddick,DET,7,RB37,,100,123,110,97,95,105.0
99,Jonathan Stewart,CAR,11,RB38,,104,104,114,102,102,105.2
100,Samaje Perine,WAS,5,RB39,,105,102,120,105,105,107.4
101,Cameron Meredith,CHI,9,WR39,,120,107,121,79,111,107.6
102,Hunter Henry,LAC,9,TE11,,117,101,135,89,96,107.6
103,Jeremy Maclin,BAL,10,WR40,,103,95,124,106,110,107.6
104,Terrance West,BAL,10,RB40,,97,81,162,110,91,108.2
105,Matt Forte,NYJ,11,RB41,,113,117,103,111,99,108.6
106,Latavius Murray,MIN,9,RB42,,82,112,125,137,97,110.6
107,Denver Broncos,DST,5,DST1,,91,105,66,,93,88.8
108,Matthew Stafford,DET,7,QB14,,111,122,107,98,132,114.0
109,Stephen Gostkowski,NE,9,K1,,109,153,73,117,123,115.0
